"Ticker","Nome","Negócios","Última (R$)","Variação"
"SBSP3","Sabesp","46.871.700","84,90","+3,51%"
"HAPV3","Hapvida","36.445.100","3,89","-1,27%"
"COGN3","Cogna","32.490.600","1,67","-2,91%"
"BBDC4","Banco Bradesco","31.493.100","12,49","-0,56%"
"PETR4","Petrobras","30.593.100","38,69","+0,42%"
"AMER3","Americanas","30.170.800","0,70","-6,67%"
"B3SA3","B3","25.808.800","11,17","+0,00%"
"ITUB4","Itaú Unibanco","23.699.100","34,26","+0,76%"
"TRPL4","Transmissão Paulista","22.598.000","24,55","-3,12%"
"ABEV3","Ambev","22.458.700","11,73","+0,51%"
"CIEL3","Cielo","20.681.000","5,75","+0,17%"
"CPLE3","Copel","20.667.800","8,94","-0,22%"
"VALE3","Vale","20.394.700","61,12","-0,08%"
"MGLU3","Magazine Luiza","18.805.200","12,57","-0,79%"
"PCAR3","Grupo Pão de Açúcar","18.597.500","2,91","+0,00%"
"CMIG4","CEMIG","17.066.300","10,55","-3,48%"
"BBAS3","Banco do Brasil","14.068.500","27,11","-0,29%"
"ITSA4","Itaúsa","13.662.300","10,36","+0,97%"
"EMBR3","Embraer","12.916.500","41,52","+1,14%"
"BRFS3","BRF","12.480.400","20,99","+0,86%"
"AZUL4","Azul","11.833.800","8,38","+2,32%"
"RAIZ4","Raízen","11.505.200","3,06","-1,92%"
"USIM5","Usiminas","11.427.600","8,53","+1,55%"
"MRFG3","Marfrig","11.158.500","11,20","-0,18%"
"EQTL3","Equatorial Energia","10.904.000","32,49","-0,95%"
"CVCB3","CVC","10.446.800","1,87","+0,00%"
"ASAI3","Assaí","9.797.700","10,54","+1,25%"
"CPLE6","Copel","9.686.000","10,07","-0,79%"
"CMIN3","CSN Mineração","9.530.000","5,12","-1,73%"
"LREN3","Lojas Renner","9.491.300","13,05","-0,84%"
"ECOR3","EcoRodovias","8.146.900","7,10","+0,00%"
"JBSS3","JBS","8.038.000","31,22","-0,73%"
"MRVE3","MRV","7.638.200","6,74","-0,30%"
"ANIM3","Ânima Educação","7.523.100","3,48","-1,97%"
"GGBR4","Gerdau","7.410.800","18,79","+0,59%"
"CSAN3","Cosan","7.313.500","14,03","+1,08%"
"VAMO3","Grupo Vamos","6.929.000","8,98","+2,39%"
"RADL3","RaiaDrogasil","6.634.300","25,77","+0,43%"
"CSNA3","Siderúrgica Nacional","6.600.700","12,64","+0,00%"
"NTCO3","Natura","6.572.700","15,07","-0,46%"
"PETZ3","Petz","6.488.600","3,92","+0,00%"
"SUZB3","Suzano","6.216.800","53,60","-0,52%"
"RENT3","Localiza","6.196.100","43,41","-0,14%"
"ELET3","Eletrobras","6.153.400","37,09","-1,38%"
"HYPE3","Hypera","6.041.800","28,37","+0,71%"
"LWSA3","Locaweb","5.875.400","4,33","-2,70%"
"CYRE3","Cyrela","5.676.300","19,99","+0,71%"
"CCRO3","Grupo CCR","5.582.400","12,41","-1,19%"
"BBDC3","Banco Bradesco","5.548.100","11,46","-0,35%"
"PETR3","Petrobras","5.499.400","41,71","+0,26%"
"JFEN3","João Fortes","5.226.400","0,18","-10,00%"
"ENEV3","Eneva","5.219.500","12,56","-2,10%"
"CRFB3","Carrefour Brasil","5.186.300","10,25","+0,10%"
"RAIL3","Rumo","5.147.500","22,56","-0,40%"
"GOLL4","GOL","5.003.900","1,18","+0,85%"
"MOVI3","Movida","4.925.800","6,08","-4,10%"
"HBSA3","Hidrovias do Brasil","4.739.400","3,77","-2,84%"
"AESB3","AES Brasil","4.671.000","11,37","+0,18%"
"UGPA3","Ultrapar","4.625.600","23,22","+2,88%"
"BHIA3","Casas Bahia","4.515.000","4,95","-1,98%"
"DXCO3","Dexco","4.471.300","7,08","+4,12%"
"STBP3","Santos Brasil","4.224.600","14,16","-1,73%"
"AMBP3","Ambipar","4.219.300","27,12","+12,58%"
"WEGE3","WEG","4.192.900","47,29","-0,23%"
"MULT3","Multiplan","4.156.200","24,63","+1,03%"
"IFCM3","Infracommerce","4.105.200","0,35","+0,00%"
"PRIO3","PetroRio","4.072.700","45,29","-0,40%"
"BEEF3","Minerva","4.065.400","6,55","-0,61%"
"POMO4","Marcopolo","3.611.800","6,59","-0,30%"
"GOAU4","Metalúrgica Gerdau","3.523.900","11,06","+0,64%"
"RDOR3","Rede D'Or","3.483.600","28,10","-0,85%"
"VBBR3","Vibra Energia","3.381.100","23,09","+0,13%"
"CBAV3","CBA","3.294.800","6,67","-2,06%"
"MLAS3","Multilaser","3.281.300","1,96","-3,45%"
"ALOS3","Allos","3.220.900","21,69","+0,05%"
"TIMS3","TIM","3.142.200","16,77","+0,12%"
"QUAL3","Qualicorp","2.937.600","1,62","-1,22%"
"FLRY3","Fleury","2.898.200","15,61","+1,43%"
"TOTS3","Totvs","2.756.200","28,06","+0,07%"
"CSMG3","COPASA","2.665.700","20,32","-0,10%"
"SOMA3","Grupo Soma","2.627.000","6,26","-0,63%"
"ALPA4","Alpargatas","2.538.900","8,87","-0,45%"
"SIMH3","Simpar","2.533.800","6,37","+0,16%"
